Product_Name,Brand,Category,Price_USD,Rating,Number_of_Reviews,Country_of_Origin,Black_owned
Ultra Mascara,Natasha Denona,Mascara,98.11,1.9,5210,UK,True
Magic Serum,Juvia’s Place,Eye Shadow,124.54,1.6,4890,USA,True
Magic Lip Liner,Ilia Beauty,Cleanser,81.69,3.5,5303,Italy,True
Ultra Foundation,Make Up For Ever,Highlighter,73.38,3.6,3592,Japan,True
Magic Powder,Anastasia Beverly Hills,CC Cream,119.97,1.9,9225,France,False
Super Eyeliner,Bourjois,Contour,49.02,1.3,2997,UK,True
Magic Lip Liner,Yves Saint Laurent,Highlighter,140.17,5.0,3923,Japan,True
Magic Lip Liner,Rare Beauty,Lip Gloss,15.48,2.8,8835,Germany,True
Perfect Setting Spray,Clinique,Serum,127.25,3.1,4941,Australia,True
Perfect Moisturizer,Danessa Myricks,Powder,16.1,4.9,3888,Japan,True
Divine Moisturizer,Kylie Cosmetics,Powder,33.23,4.5,749,Australia,False
Super Cleanser,Clinique,Primer,38.54,4.5,3669,Japan,True
Ultra CC Cream,Tatcha,Face Oil,96.39,4.7,6532,Italy,False
Perfect Foundation,Farsali,Bronzer,130.2,1.4,87,UK,True
Perfect Eyeliner,Sisley,Lipstick,117.64,1.2,8002,USA,True
Super Lip Liner,Morphe,BB Cream,67.0,2.4,8011,USA,True
Divine Contour,IT Cosmetics,Eyeliner,10.03,1.7,2925,Germany,True
Perfect BB Cream,Becca,Moisturizer,66.1,1.8,2404,Germany,True
Divine Bronzer,Becca,BB Cream,113.52,4.9,3381,Germany,True
Divine Powder,Make Up For Ever,Face Oil,95.66,2.5,8462,Australia,True
Divine BB Cream,Clinique,Blush,70.76,3.6,8871,South Korea,True
Perfect Blush,Bourjois,Contour,148.53,4.0,7230,Italy,True
Divine Exfoliator,Kylie Cosmetics,Bronzer,110.72,2.7,5194,Germany,False
Ultra BB Cream,Make Up For Ever,Highlighter,87.54,1.4,9422,South Korea,True
Magic Lip Gloss,Anastasia Beverly Hills,Primer,88.36,4.5,3286,UK,False
Ultra Eyeliner,Pat McGrath Labs,Face Mask,75.4,4.1,4589,USA,True
Super Setting Spray,Ilia Beauty,Serum,87.84,3.7,8757,UK,True
Perfect Face Oil,Drunk Elephant,Eyeliner,116.93,3.8,8742,Japan,False
Super Makeup Remover,Shiseido,Exfoliator,58.03,3.2,8198,France,True
Super Powder,Drunk Elephant,Eye Shadow,135.53,1.3,4296,Japan,False
Super Makeup Remover,Yves Saint Laurent,Moisturizer,107.46,4.4,2824,France,True
Ultra Foundation,Milk Makeup,Exfoliator,42.02,2.3,9115,USA,False
Ultra Serum,Too Faced,Lip Liner,114.87,3.4,9140,Germany,False
Divine Cleanser,IT Cosmetics,Lip Liner,130.61,4.1,5865,South Korea,True
Ultra Mascara,Morphe,Primer,130.99,1.4,3761,France,True
Perfect Moisturizer,Hourglass,Setting Spray,130.11,3.3,3178,Australia,False
Perfect Contour,RMS Beauty,Exfoliator,147.43,1.1,4484,Australia,False
Divine Exfoliator,Drunk Elephant,Makeup Remover,24.08,4.2,6005,USA,False
Divine Contour,Farsali,Blush,69.37,2.0,5473,France,True
Super Lip Gloss,Becca,Eye Shadow,98.55,4.8,6840,South Korea,True
Ultra Eye Shadow,Huda Beauty,Eyeliner,66.93,1.9,7157,UK,True
Perfect Foundation,Natasha Denona,Moisturizer,118.16,4.1,2855,UK,True
Super Concealer,Farsali,Blush,16.95,1.5,3628,Australia,True
Magic Setting Spray,Danessa Myricks,Cleanser,116.21,2.5,3741,Italy,True
Perfect Makeup Remover,E.l.f.,Exfoliator,111.18,4.8,1963,France,True
Divine Lipstick,Tatcha,Contour,93.05,4.9,1914,Japan,False
Magic Foundation,Becca,Eye Shadow,81.01,4.7,7307,USA,True
Magic Foundation,Yves Saint Laurent,Lipstick,23.28,2.6,3346,France,True
Divine Exfoliator,Danessa Myricks,Lipstick,144.3,4.8,5390,Italy,True
Divine Moisturizer,Glossier,Makeup Remover,14.07,1.7,6682,Australia,True
Magic Lipstick,KVD Beauty,Mascara,132.37,3.5,7786,Italy,True
Magic Mascara,Bite Beauty,Lip Liner,118.96,4.7,6481,South Korea,False
Perfect Highlighter,Anastasia Beverly Hills,Makeup Remover,82.62,3.6,715,Australia,False
Magic Bronzer,ColourPop,Powder,113.95,4.5,7423,Germany,False
Divine BB Cream,Glossier,Powder,96.58,4.7,349,Italy,True
Divine Serum,ColourPop,Moisturizer,75.07,1.7,3347,Italy,False
Perfect Lip Gloss,Shiseido,Lipstick,72.24,1.4,7318,UK,True
Perfect Concealer,Perricone MD,Lip Gloss,90.58,1.0,7745,USA,False
Divine Cleanser,Clinique,Makeup Remover,119.99,3.4,8909,UK,True
Perfect Cleanser,Huda Beauty,Cleanser,107.61,1.7,5630,Italy,True
Ultra Lipstick,NARS,Exfoliator,127.48,3.4,4526,USA,True
Super Face Oil,Glossier,Face Oil,66.45,1.9,3675,Italy,True
Super Eyeliner,Laura Mercier,Makeup Remover,100.93,3.5,4461,Australia,True
Ultra Eyeliner,Sisley,Bronzer,88.12,3.9,2650,France,True
Super Face Oil,Make Up For Ever,BB Cream,129.64,3.7,8410,Italy,True
Divine Foundation,Fenty Beauty,Eye Shadow,125.47,3.0,5880,Australia,True
Divine Primer,KVD Beauty,CC Cream,131.11,1.6,3964,Germany,True
Perfect BB Cream,Danessa Myricks,Lip Gloss,32.3,4.3,9167,Australia,True
Ultra Face Mask,Rare Beauty,Lip Liner,34.0,3.1,656,South Korea,True
Divine Makeup Remover,Laura Mercier,Powder,51.85,4.7,5182,South Korea,True
Divine Bronzer,Fenty Beauty,Eye Shadow,49.0,2.6,7671,Germany,True
Super Exfoliator,Farsali,Lip Liner,71.45,2.2,8573,Germany,True
Super Cleanser,Clinique,Lip Liner,138.12,3.1,5776,Italy,True
Perfect Face Oil,Bourjois,Mascara,31.2,4.5,9300,USA,True
Perfect Lip Liner,Danessa Myricks,Blush,26.39,4.3,6795,Japan,True
Divine Concealer,Becca,BB Cream,117.88,2.6,181,Australia,True
Magic Primer,RMS Beauty,Lipstick,117.49,2.8,6253,Australia,False
Divine Eyeliner,Make Up For Ever,Concealer,111.44,3.6,5223,Japan,True
Ultra Bronzer,Patrick Ta,Serum,29.58,2.6,2740,UK,True
Ultra Face Mask,Glossier,Mascara,29.31,4.0,2372,USA,True
Ultra Cleanser,Shiseido,Bronzer,88.52,1.3,4147,South Korea,True
Ultra Eye Shadow,Rare Beauty,BB Cream,106.83,2.9,5402,Australia,True
Magic Contour,Tatcha,Highlighter,138.25,2.2,6488,Japan,False
Ultra Mascara,Rare Beauty,Highlighter,91.7,3.2,5610,France,True
Divine CC Cream,Make Up For Ever,Highlighter,123.11,3.4,4259,South Korea,True
Magic Cleanser,Bobby Brown,Cleanser,53.17,1.7,7866,USA,True
Divine Exfoliator,Kiehl’s,Mascara,36.64,2.3,1635,South Korea,True
Super Lipstick,Huda Beauty,Contour,26.15,2.6,7823,South Korea,True
Ultra Moisturizer,Natasha Denona,Powder,81.76,3.7,7736,Japan,True
Ultra Makeup Remover,Ilia Beauty,Makeup Remover,123.84,3.5,7241,Germany,True
Super CC Cream,Rare Beauty,Lipstick,131.26,2.0,6327,South Korea,True
Ultra Exfoliator,Bourjois,Eyeliner,26.87,3.8,9967,USA,True
Perfect Cleanser,NARS,Mascara,55.31,2.5,4608,USA,True
Magic Exfoliator,Bite Beauty,Eyeliner,56.93,4.8,506,France,False
Perfect Contour,Huda Beauty,Serum,103.15,2.5,9596,Germany,True
Divine Eyeliner,Huda Beauty,Cleanser,104.76,5.0,6620,UK,True
Ultra Setting Spray,Glossier,Makeup Remover,33.93,2.1,2155,France,True
Ultra Foundation,Milk Makeup,Contour,146.49,2.5,4740,Japan,False
Divine Exfoliator,Glossier,Setting Spray,92.2,2.0,2458,Australia,True
Divine Highlighter,Huda Beauty,Blush,21.36,4.5,9969,USA,True
Magic Powder,Morphe,Mascara,109.62,4.4,5214,South Korea,True
Ultra Blush,Becca,Face Oil,71.86,1.2,7260,France,True
Perfect Cleanser,Natasha Denona,Blush,41.86,2.4,702,South Korea,True
Ultra CC Cream,NARS,Exfoliator,14.19,2.8,7562,UK,True
Magic Eye Shadow,Tatcha,Makeup Remover,108.97,1.9,106,France,False
Divine Exfoliator,Shiseido,Mascara,127.43,1.0,7057,South Korea,True
Perfect Powder,Milk Makeup,Exfoliator,124.06,3.0,4801,Italy,False
Divine Serum,Sisley,Bronzer,109.54,4.8,1735,Italy,True
Ultra Eye Shadow,Huda Beauty,Bronzer,88.84,4.1,2757,Germany,True
Super Mascara,Juvia’s Place,Primer,90.62,4.1,3512,France,True
Perfect Blush,Rare Beauty,Cleanser,94.67,4.1,4775,Germany,True
Perfect Moisturizer,Farsali,Face Oil,81.63,4.4,2512,Italy,True
Divine Powder,Becca,Lip Liner,91.1,1.4,4547,South Korea,True
Super Serum,Clinique,Concealer,107.69,1.2,9909,France,True
Ultra CC Cream,Too Faced,Primer,50.73,2.1,1566,Australia,False
Super BB Cream,Farsali,Lip Liner,138.96,3.3,1451,Australia,True
Ultra Concealer,RMS Beauty,Highlighter,37.31,4.6,5815,USA,False
Divine Bronzer,Farsali,Exfoliator,96.66,2.5,1770,Italy,True
Perfect Primer,Morphe,Serum,132.55,3.5,8661,South Korea,True
Perfect BB Cream,Pat McGrath Labs,Primer,74.17,2.1,5723,Australia,True
Magic Lip Liner,ColourPop,Mascara,50.07,2.2,143,Japan,False
Divine Foundation,Hourglass,BB Cream,61.7,4.1,3762,USA,False
Perfect Setting Spray,Hourglass,Contour,93.18,3.5,8770,USA,False
Divine Setting Spray,Milk Makeup,Setting Spray,72.95,2.5,8676,Japan,False
Perfect Exfoliator,Farsali,Bronzer,28.71,2.8,9673,UK,True
Perfect Primer,Tatcha,BB Cream,101.97,2.7,5176,Australia,False
Ultra Lip Gloss,Anastasia Beverly Hills,Setting Spray,10.75,2.5,7159,South Korea,False
Divine Powder,Anastasia Beverly Hills,Blush,11.26,3.8,4693,Italy,False
Divine Face Mask,Hourglass,Foundation,119.73,2.5,6143,Italy,False
Ultra Lip Liner,Danessa Myricks,Eye Shadow,71.54,3.2,6616,UK,True
Perfect Eye Shadow,Make Up For Ever,Mascara,18.63,3.0,5063,South Korea,True
Magic Powder,IT Cosmetics,Exfoliator,123.49,2.5,6703,Australia,True
Super Mascara,Hourglass,Makeup Remover,55.73,2.2,3791,UK,False
Perfect Highlighter,Natasha Denona,BB Cream,82.06,1.1,8311,UK,True
Divine Serum,Fenty Beauty,Face Oil,13.21,4.4,4778,UK,True
Divine Highlighter,Kylie Cosmetics,Bronzer,111.77,2.4,4037,Italy,False
Ultra Highlighter,Rare Beauty,Setting Spray,56.23,3.7,9994,UK,True
Divine Exfoliator,Sisley,Exfoliator,39.72,1.3,650,Australia,True
Super Eyeliner,KVD Beauty,Primer,123.74,3.4,5141,USA,True
Divine Serum,Fenty Beauty,Blush,39.24,2.8,7927,USA,True
Divine Bronzer,Shiseido,Lipstick,96.69,3.7,2832,UK,True
Super Highlighter,Urban Decay,Blush,120.8,3.4,4065,UK,False
Ultra Cleanser,Natasha Denona,Primer,49.25,2.4,1898,South Korea,True
Perfect Concealer,Perricone MD,BB Cream,74.16,3.2,4305,France,False
Perfect Face Oil,Fenty Beauty,Eye Shadow,110.84,1.7,4168,Germany,True
Super Eye Shadow,Drunk Elephant,Eye Shadow,24.59,2.8,2825,Japan,False
Super Eye Shadow,E.l.f.,Mascara,27.76,2.3,7111,Italy,True
Divine Face Oil,ColourPop,Eyeliner,36.55,3.8,7769,Italy,False
Ultra Powder,Yves Saint Laurent,CC Cream,65.26,1.6,5075,France,True
Ultra Face Mask,Becca,Face Mask,102.98,4.8,3765,South Korea,True
Perfect CC Cream,Bourjois,Blush,96.53,1.3,8305,UK,True
Perfect BB Cream,KVD Beauty,Serum,19.11,4.4,4210,Italy,True
Perfect Bronzer,Bobby Brown,Bronzer,114.04,4.2,5204,Japan,True
Divine Concealer,Hourglass,Serum,30.06,4.7,3275,UK,False
Divine Face Mask,Drunk Elephant,Primer,106.69,3.5,8104,Japan,False
Divine Mascara,Kylie Cosmetics,Cleanser,128.98,4.4,5952,Japan,False
Super CC Cream,Perricone MD,Highlighter,93.64,4.4,1111,Italy,False
Perfect Eye Shadow,Kiehl’s,Moisturizer,131.48,4.6,9077,Australia,True
Super Highlighter,NARS,Eye Shadow,101.88,2.2,5948,USA,True
Magic Face Oil,Morphe,Contour,72.01,1.5,8598,USA,True
Ultra Face Mask,Clinique,Serum,104.34,1.9,128,Japan,True
Perfect Concealer,Bobby Brown,Highlighter,87.98,1.7,3312,USA,True
Magic CC Cream,Bobby Brown,Lip Gloss,105.99,4.2,6818,Japan,True
Super BB Cream,Tatcha,Face Oil,136.32,2.2,7596,Germany,False
Divine Eyeliner,Too Faced,BB Cream,31.47,2.2,5392,France,False
Ultra Cleanser,Kiehl’s,Eyeliner,67.94,2.9,7337,Australia,True
Magic Face Oil,Anastasia Beverly Hills,Serum,110.9,5.0,2710,Italy,False
Super Concealer,Bobby Brown,Serum,139.56,3.3,3696,Italy,True
Super Primer,Clinique,Foundation,34.94,2.7,2335,Japan,True
Super Face Mask,Urban Decay,Highlighter,21.41,1.7,8959,France,False
Ultra Bronzer,Rare Beauty,Concealer,126.8,2.9,6602,Italy,True
Ultra Setting Spray,Juvia’s Place,Serum,41.59,3.1,6197,South Korea,True
Magic Powder,Bite Beauty,Primer,29.03,4.0,2688,France,False
Super Serum,Becca,Face Oil,89.95,1.6,8315,Japan,True
Magic Setting Spray,Make Up For Ever,BB Cream,29.92,2.2,8452,Australia,True
Magic Lipstick,Clinique,Foundation,148.92,1.8,5894,Germany,True
Ultra Foundation,Patrick Ta,Moisturizer,114.7,2.2,3422,UK,True
Super Setting Spray,Kiehl’s,Moisturizer,47.59,2.7,9526,Japan,True
Divine Powder,RMS Beauty,Serum,41.41,1.7,4826,France,False
Magic Bronzer,Urban Decay,Contour,16.26,4.5,1273,Australia,False
Perfect Foundation,Charlotte Tilbury,Concealer,58.28,1.9,3822,USA,False
Ultra Face Oil,Fenty Beauty,Contour,114.76,1.0,1991,UK,True
Perfect Concealer,Morphe,Cleanser,85.66,1.4,4112,Italy,True
Ultra Setting Spray,Urban Decay,Face Oil,17.94,1.7,3148,Italy,False
Divine Makeup Remover,Kiehl’s,Concealer,98.8,1.6,253,France,True
Super Exfoliator,Perricone MD,Eyeliner,120.68,1.6,2880,UK,False
Ultra Moisturizer,Sisley,Cleanser,109.12,3.3,6470,Australia,True
Super Mascara,Bite Beauty,Face Oil,100.66,1.2,3751,Italy,False
Divine Highlighter,Yves Saint Laurent,Highlighter,47.24,1.6,142,USA,True
Magic CC Cream,Laura Mercier,Setting Spray,39.78,3.6,4622,USA,True
Super Face Oil,Sisley,Eye Shadow,37.39,1.2,3102,USA,True
Super Lipstick,Sisley,Exfoliator,74.39,2.2,9704,Japan,True
Perfect Exfoliator,E.l.f.,Eyeliner,76.03,2.7,8137,Italy,True
Perfect BB Cream,Milk Makeup,Face Mask,21.34,3.5,8471,South Korea,False
Ultra CC Cream,Too Faced,Powder,145.72,3.0,686,France,False
Divine Highlighter,Natasha Denona,Lip Liner,57.22,3.4,157,Australia,True
Perfect Bronzer,Patrick Ta,Face Oil,88.89,2.6,9711,Germany,True
Ultra Concealer,Drunk Elephant,Highlighter,23.05,2.5,1351,Italy,False
Divine Face Mask,Sisley,Lip Liner,46.19,4.1,1069,UK,True
Super Blush,RMS Beauty,Setting Spray,41.32,1.5,5098,Japan,False
Ultra Lip Liner,Milk Makeup,Primer,115.73,4.4,9449,Germany,False
Magic Contour,Rare Beauty,Lipstick,102.5,1.2,1039,USA,True
Ultra Blush,Drunk Elephant,Concealer,74.4,1.0,4072,Japan,False
Divine Contour,RMS Beauty,Eyeliner,122.73,2.6,6724,UK,False
Ultra CC Cream,Tarte,Face Mask,136.17,3.3,1744,UK,False
Perfect Highlighter,Urban Decay,BB Cream,73.81,4.8,6462,Japan,False
Ultra CC Cream,RMS Beauty,Cleanser,86.12,3.1,5473,Italy,False
Divine Primer,ColourPop,Face Oil,51.97,3.7,6146,Australia,False
Divine Highlighter,Ilia Beauty,Moisturizer,57.64,4.5,5110,Japan,True
Magic Contour,Kiehl’s,Primer,52.77,3.6,5370,Italy,True
Perfect BB Cream,Anastasia Beverly Hills,Lipstick,30.38,4.3,1535,Australia,False
Perfect Concealer,Huda Beauty,Moisturizer,94.83,2.9,3719,France,True
Divine Foundation,Fenty Beauty,Concealer,44.82,2.8,3417,Australia,True
Ultra Serum,Farsali,Highlighter,78.12,2.7,4548,Australia,True
Perfect Blush,RMS Beauty,Setting Spray,133.9,4.2,7785,South Korea,False
Ultra Cleanser,ColourPop,Lip Gloss,23.16,3.5,3527,UK,False
Magic Cleanser,Hourglass,Highlighter,88.0,5.0,5545,USA,False
Ultra Primer,Shiseido,Lip Liner,93.01,2.3,849,Japan,True
Magic Moisturizer,Morphe,Face Oil,27.23,2.6,538,UK,True
Divine Exfoliator,Make Up For Ever,Face Oil,144.37,4.3,2407,UK,True
Divine Face Mask,ColourPop,BB Cream,101.71,2.9,6272,UK,False
Divine Exfoliator,IT Cosmetics,Lipstick,66.74,1.7,4744,South Korea,True
Ultra Moisturizer,ColourPop,Eyeliner,134.86,3.1,7763,Australia,False
Perfect Primer,Danessa Myricks,Serum,35.43,2.8,1647,Japan,True
Super Eye Shadow,Fenty Beauty,Lip Liner,12.41,1.6,2146,Japan,True
Super CC Cream,RMS Beauty,Serum,23.99,1.5,1593,USA,False
Super Serum,Sisley,Lipstick,25.2,1.2,7375,Italy,True
Super Makeup Remover,Ilia Beauty,Blush,43.02,4.1,4783,Germany,True
Super Lip Liner,Make Up For Ever,Foundation,90.39,3.3,5126,Australia,True
Perfect Lipstick,Farsali,Powder,139.33,2.9,1925,France,True
Ultra Cleanser,Glossier,Lip Gloss,61.18,4.7,5297,France,True
Super Eye Shadow,NARS,Eyeliner,43.95,2.9,4070,South Korea,True
Perfect Cleanser,Rare Beauty,Cleanser,59.11,5.0,2609,South Korea,True
Perfect Powder,Farsali,Setting Spray,110.59,3.0,6347,Japan,True
Divine Concealer,Milk Makeup,Lip Liner,109.34,1.8,1813,Japan,False
Perfect Cleanser,Anastasia Beverly Hills,Exfoliator,145.45,1.6,9971,Australia,False
Ultra Face Oil,RMS Beauty,Bronzer,140.77,3.7,6795,Italy,False
Perfect Bronzer,Make Up For Ever,Bronzer,125.83,4.5,5989,Australia,True
Super Blush,Morphe,Mascara,143.0,3.2,6909,USA,True
Perfect Lip Gloss,RMS Beauty,Serum,143.56,2.2,7366,South Korea,False
Divine Contour,Laura Mercier,Contour,32.73,1.2,9863,USA,True
Magic Lip Liner,Make Up For Ever,Moisturizer,108.39,1.8,7240,USA,True
Perfect Primer,Charlotte Tilbury,Lip Liner,60.91,4.5,882,Australia,False
Ultra Primer,ColourPop,Eyeliner,141.32,1.8,1371,Germany,False
Perfect CC Cream,Bite Beauty,Makeup Remover,38.59,2.5,6206,France,False
Ultra Powder,Rare Beauty,Contour,11.51,4.3,6355,UK,True
Super Lip Gloss,Clinique,Bronzer,71.63,1.2,4449,Italy,True
Ultra Moisturizer,Kiehl’s,Serum,72.74,4.0,5147,UK,True
Ultra Contour,E.l.f.,Face Mask,44.93,2.1,6557,Australia,True
Perfect Highlighter,Farsali,Concealer,69.18,4.1,6087,Germany,True
Divine Lip Liner,Tatcha,Blush,129.22,1.8,4716,Italy,False
Super BB Cream,Patrick Ta,Concealer,21.02,2.3,5920,USA,True
Magic Highlighter,Make Up For Ever,Face Oil,30.23,1.7,4437,Germany,True
Magic Powder,RMS Beauty,Cleanser,32.38,3.2,5062,Japan,False
Super Powder,Clinique,Moisturizer,147.48,3.9,7015,Italy,True
Divine Lip Liner,Bite Beauty,Exfoliator,117.38,2.8,1992,Japan,False
Super Foundation,Hourglass,Mascara,149.68,1.9,6261,Italy,False
Magic CC Cream,Milk Makeup,Bronzer,12.29,2.4,2943,South Korea,False
Divine BB Cream,Laura Mercier,Setting Spray,95.8,3.8,4873,Germany,True
Ultra Eye Shadow,Clinique,Lip Gloss,134.76,1.3,3523,Germany,True
Super Setting Spray,Charlotte Tilbury,Concealer,110.81,2.7,4153,UK,False
Ultra Lipstick,Drunk Elephant,BB Cream,110.28,2.2,5100,USA,False
Super BB Cream,Bobby Brown,Blush,39.2,2.9,4870,UK,True
Perfect Primer,KVD Beauty,Foundation,86.71,4.0,2818,Australia,True
Ultra Concealer,Shiseido,Contour,59.91,2.9,4798,Italy,True
Divine BB Cream,Urban Decay,Exfoliator,132.49,2.7,4124,UK,False
Divine Lip Gloss,Perricone MD,Cleanser,43.46,4.6,638,Australia,False
Super Exfoliator,Drunk Elephant,Concealer,143.89,1.5,6528,South Korea,False
Perfect Lip Gloss,Rare Beauty,Bronzer,106.93,2.8,8049,South Korea,True
Super Foundation,Pat McGrath Labs,Lip Gloss,126.34,3.9,1364,Italy,True
Divine Bronzer,Shiseido,Blush,69.69,1.1,382,USA,True
Magic Primer,ColourPop,Highlighter,108.35,2.5,7427,Germany,False
Magic Blush,Hourglass,Face Oil,48.52,3.9,9459,USA,False
Magic Lipstick,Too Faced,Lip Gloss,29.89,1.7,6179,Germany,False
Magic Lip Liner,Bobby Brown,Mascara,108.35,2.3,5653,Japan,True
Divine Blush,Perricone MD,Exfoliator,78.19,1.1,156,USA,False
Magic Concealer,Fenty Beauty,Eye Shadow,87.46,2.4,2339,Italy,True
Super Face Oil,KVD Beauty,Lipstick,32.41,4.4,3922,Germany,True
Ultra Foundation,Perricone MD,Face Mask,75.18,3.7,2099,Italy,False
Ultra Moisturizer,Patrick Ta,Lip Liner,45.48,1.3,3178,Italy,True
Super Foundation,Farsali,BB Cream,126.88,4.7,7329,Japan,True
Super Blush,Sisley,BB Cream,36.46,3.5,7879,South Korea,True
Perfect Eyeliner,Danessa Myricks,Mascara,52.48,2.5,7762,Italy,True
Magic CC Cream,E.l.f.,Blush,63.88,4.4,6971,Australia,True
Magic Lip Gloss,Tatcha,Bronzer,34.12,3.2,2654,Japan,False
Ultra Serum,Kiehl’s,Moisturizer,141.43,4.7,1440,Germany,True
Super Eye Shadow,Ilia Beauty,Moisturizer,104.76,4.5,7146,Germany,True
Divine BB Cream,Tatcha,Lip Gloss,15.09,4.2,6526,France,False
Ultra Powder,Tatcha,Blush,30.27,4.7,3594,South Korea,False
Magic Lipstick,Pat McGrath Labs,Lip Gloss,80.42,2.8,7101,Italy,True
Divine Foundation,Kiehl’s,Concealer,113.83,1.8,5037,USA,True
Divine Makeup Remover,Juvia’s Place,Foundation,77.77,3.5,4513,UK,True
Perfect Eyeliner,Charlotte Tilbury,Blush,147.22,2.8,3396,UK,False
Super Powder,Kylie Cosmetics,Eye Shadow,148.94,1.2,9726,Australia,False
Magic Serum,Tatcha,Face Mask,121.01,1.4,6017,Italy,False
Perfect Foundation,Hourglass,Serum,100.76,4.1,3162,USA,False
Divine Eyeliner,Glossier,Blush,27.81,4.0,9247,Italy,True
Ultra Face Mask,IT Cosmetics,Face Mask,72.85,3.9,2551,Japan,True
Super Blush,Kiehl’s,Exfoliator,73.27,4.6,8280,UK,True
Magic Setting Spray,Too Faced,Lip Liner,112.05,2.9,1794,UK,False
Ultra Setting Spray,Clinique,Lip Gloss,25.56,2.8,4604,UK,True
Divine Eyeliner,Bourjois,Exfoliator,18.02,4.1,7854,France,True
Ultra Foundation,Tatcha,Lip Liner,81.32,3.8,4089,Germany,False
Ultra Concealer,Yves Saint Laurent,Face Oil,55.8,2.0,2882,Japan,True
Super Moisturizer,Perricone MD,Concealer,65.77,4.8,4647,Japan,False
Magic Primer,Hourglass,Contour,14.9,4.1,8781,Italy,False
Divine Highlighter,Tarte,Lip Gloss,94.69,4.5,6906,Italy,False
Magic Eyeliner,NARS,Bronzer,15.39,4.8,7742,Germany,True
Divine Setting Spray,Sisley,Eye Shadow,12.96,4.2,3549,Germany,True
Ultra Face Oil,Becca,Cleanser,103.14,3.0,633,France,True
Perfect Concealer,Morphe,Lipstick,149.75,3.6,4230,Australia,True
Magic Concealer,RMS Beauty,Concealer,35.8,2.3,4028,Australia,False
Super Face Mask,E.l.f.,Bronzer,15.66,4.8,8570,Japan,True
Super Primer,Tatcha,Lipstick,48.66,3.5,3217,Australia,False
Divine Face Mask,Yves Saint Laurent,Setting Spray,112.07,1.3,4401,South Korea,True
Perfect Bronzer,Rare Beauty,Contour,102.61,3.0,2223,France,True
Divine Lip Liner,Sisley,Foundation,101.33,3.8,2557,South Korea,True
Super Bronzer,Tarte,Eye Shadow,140.47,2.5,6366,South Korea,False
Perfect Eyeliner,Drunk Elephant,Cleanser,45.58,4.7,9412,France,False
Magic Bronzer,Juvia’s Place,Primer,56.0,2.9,2426,South Korea,True
Ultra Eyeliner,Huda Beauty,Highlighter,119.51,1.5,8521,Germany,True
Magic Primer,Too Faced,Concealer,64.47,1.0,4956,Japan,False
Ultra Face Mask,Farsali,Bronzer,81.37,3.9,8947,UK,True
Ultra Cleanser,Urban Decay,Lipstick,71.94,3.0,8001,Japan,False
Magic Contour,Laura Mercier,Cleanser,85.64,1.5,2019,Italy,True
Magic BB Cream,Yves Saint Laurent,Exfoliator,51.19,2.3,2565,Italy,True
Divine Cleanser,Kylie Cosmetics,Cleanser,147.85,4.9,3011,France,False
Ultra BB Cream,Urban Decay,Moisturizer,98.8,4.6,9134,Germany,False
Ultra Face Oil,Pat McGrath Labs,Face Mask,41.0,2.6,1942,UK,True
Divine Moisturizer,Natasha Denona,Eyeliner,141.0,2.0,3129,USA,True
Divine BB Cream,Rare Beauty,Mascara,114.44,4.3,3215,France,True
Ultra Eye Shadow,Anastasia Beverly Hills,Lip Liner,43.84,1.1,3647,France,False
Ultra Lipstick,Morphe,Concealer,104.84,2.3,6493,Australia,True
Perfect Makeup Remover,Make Up For Ever,Lip Liner,50.25,3.5,8703,France,True
Magic Powder,Charlotte Tilbury,Concealer,106.68,3.3,6178,UK,False
Divine Contour,Ilia Beauty,Moisturizer,83.67,4.2,684,South Korea,True
Magic Face Mask,Yves Saint Laurent,Highlighter,48.19,2.0,4172,USA,True
Ultra Highlighter,Charlotte Tilbury,Cleanser,142.01,4.7,117,Japan,False
Magic Lip Liner,Urban Decay,Contour,93.25,2.3,554,USA,False
Ultra Foundation,Glossier,Setting Spray,135.11,4.5,8406,Australia,True
Divine BB Cream,Tatcha,CC Cream,92.26,4.9,452,France,False
Perfect Blush,Bobby Brown,Cleanser,47.75,4.4,7608,Australia,True
Magic Lip Gloss,Shiseido,Blush,65.75,1.6,8286,USA,True
Super Lipstick,Bobby Brown,Contour,130.19,3.3,1379,Germany,True
Divine Concealer,Bite Beauty,Face Oil,45.26,4.2,6884,Australia,False
Perfect Exfoliator,Laura Mercier,Mascara,87.32,1.5,6447,Germany,True
Ultra CC Cream,NARS,Eyeliner,20.01,1.2,8949,Japan,True
Magic Face Oil,Fenty Beauty,Eyeliner,76.67,1.4,4049,USA,True
Ultra Primer,Tatcha,Exfoliator,62.04,2.1,7145,Italy,False
Divine CC Cream,Patrick Ta,Lip Liner,91.31,4.3,5773,Germany,True
Ultra Setting Spray,Yves Saint Laurent,Highlighter,39.81,4.4,8844,UK,True
Divine Makeup Remover,RMS Beauty,Makeup Remover,16.53,4.2,8236,Germany,False
Perfect Eye Shadow,Bobby Brown,Foundation,34.03,1.1,1676,Australia,True
Perfect Setting Spray,Becca,Setting Spray,14.09,2.1,5893,Germany,True
Ultra Cleanser,Juvia’s Place,Moisturizer,147.39,4.1,9013,Italy,True
Perfect Cleanser,Patrick Ta,Bronzer,82.51,4.4,7666,Japan,True
Perfect Moisturizer,Charlotte Tilbury,Concealer,31.77,2.9,5373,Italy,False
